berry.x,berry.y,berry.z,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
3.34,3.29,1.09,-72.9539473684211,-78.5197368421053,-71.5592105263158,-70.5131578947368,-78.4834437086093,-76.0394736842105,-70.3881578947368,-73.6644736842105
3.015,3.29,1.09,-78.7763157894737,-78.7631578947368,-74.4105960264901,-74.3618421052632,-76.5460526315789,-73.4934210526316,-69.8355263157895,-70.625
2.69,3.29,1.09,-74.6776315789474,-76.5263157894737,-71.8552631578947,-72.4473684210526,-79.3157894736842,-80.0662251655629,-76.9144736842105,-69.9407894736842
2.365,3.29,1.09,-75.2236842105263,-80.0592105263158,-74.0789473684211,-69.1578947368421,-80.7894736842105,-75.875,-78.8476821192053,-74.3421052631579
2.04,3.29,1.09,-69.1513157894737,-70.4539473684211,-75.7763157894737,-77.2384105960265,-89.6644736842105,-75.1447368421053,-71.2631578947368,-74.5855263157895
1.715,3.29,1.09,-72.317880794702,-69.4802631578947,-74.0855263157895,-77.9276315789474,-74.3289473684211,-71.9078947368421,-71.0986842105263,-85.7417218543046
1.39,3.29,1.09,-69.6513157894737,-69.9934210526316,-78.1059602649007,-75.9276315789474,-79.7368421052632,-74.7631578947368,-72.1381578947368,-71.4802631578947
1.065,3.29,1.09,-75.2565789473684,-70.8486842105263,-74.4210526315789,-83.2236842105263,-78.1644736842105,-74.2894736842105,-73.4966887417219,-72.5
0.74,3.29,1.09,-81.9868421052632,-73.1513157894737,-82.8552631578947,-76.1447368421053,-77.4802631578947,-72.75,-78.4370860927152,-73.6447368421053
0.74,2.89,1.09,-65.1776315789474,-70.6710526315789,-76.375,-70.6776315789474,-76.3552631578947,-75.8552631578947,-77.6953642384106,-73.6118421052632
1.065,2.89,1.09,-81.0197368421053,-79.0592105263158,-79.4539473684211,-74.9276315789474,-74.375,-72.9934210526316,-76.046357615894,-70.7171052631579
1.39,2.89,1.09,-75.9013157894737,-78.4539473684211,-77.2781456953642,-77.3684210526316,-72.3421052631579,-73.6907894736842,-80.9736842105263,-73.0657894736842
1.715,2.89,1.09,-78.5,-74.0657894736842,-72.5065789473684,-74.9539473684211,-88.3552631578947,-76.5065789473684,-72.5921052631579,-72.7019867549669
